lat,lng,violationdescription
40.026558,-75.079818,CLIP VIOLATION NOTICE
40.027108,-75.119294,DRAINAGE-YARD DRAIN REPAIR
40.027125,-75.119187,EXT A-CLEAN WEEDS/PLANTS
40.027173,-75.11887,PERMB- ALTER REPAIR INT PART
40.027173,-75.11887,PERMB- ALTER REP'R EXT PORTION
39.987706,-75.1104,EXT S-WINDOW LOCK REPAIR/REPLA
40.027181,-75.118818,CLIP VIOLATION NOTICE
40.03609,-75.08656,LICENSE - RENTAL PROPERTY
40.03609,-75.08656,CLIP VIOLATION NOTICE
40.036422,-75.086751,CLIP VIOLATION NOTICE
40.040631,-75.06699,CLIP VIOLATION NOTICE
40.027428,-75.119407,DRAINAGE-ROOF/YARDS/OPEN AREAS
40.027428,-75.119407,LICENSE-RES GENERAL
40.009929,-75.148057,FLOOR/CEILING PARTIALLY C ID
39.987706,-75.1104,EXT S-DOOR WEATHERTIGHT
40.00344,-75.10323,ELEC-COVER PLATE DEFECTIVE-RES
40.026705,-75.079674,RUBBISH/GARBAGE EXTERIOR-OWNER
40.027051,-75.079881,CLIP VIOLATION NOTICE
40.027051,-75.079881,LICENSE - RENTAL PROPERTY
40.026852,-75.079527,LICENSE-RES SFD/2FD
40.02689,-75.079493,CLIP VIOLATION NOTICE
40.046026,-75.062266,CLIP VIOLATION NOTICE
40.026523,-75.122647,EXT A-CLEAN RUBBISH/GARBAGE
39.987964,-75.109906,LICENSE-VAC RES BLDG
39.987964,-75.109906,VACANT PROP STANDARD
39.988322,-75.109189,EXT A-CLEAN ANIMAL WASTE
39.988322,-75.109189,ELEC-SYSTEM HAZARDOUS-RES
39.988322,-75.109189,INT-KITCHEN REPAIR FAUCETS-RES
39.988322,-75.109189,EXT S-WINDOW WEATHERTIGHT
39.988322,-75.109189,"INT A-RODENT BURROWS, ELIMINAT"
39.988345,-75.109148,VAC PROP REPLAC WIN/DRS 80%
40.00955,-75.148255,EXT A-CLEAN/EXTERMINATE
40.009607,-75.148684,PERM Z- NEW USE
40.044846,-75.06288,CLIP VIOLATION NOTICE
40.04512,-75.063183,LICENSE - RENTAL PROPERTY
39.98751,-75.110775,INT S-CEILING REPAIR/MAINT SAN
39.98751,-75.110775,LICENSE-RES GENERAL
39.987267,-75.11068,LICENSE-VAC RES BLDG
39.987641,-75.110524,EXT S-WINDOW REPAIR/MAINTAIN
39.987641,-75.110524,SD-REQD EXIST GROUP R
39.987415,-75.110408,LICENSE-RES SFD/2FD
40.012845,-75.189733,LICENSE-RES AGENT REQUIRED
40.012218,-75.189897,LICENSE-RES GENERAL
40.012253,-75.190598,LICENSE-RES AGENT REQUIRED
40.012253,-75.190598,LICENSE-RES GENERAL
40.009612,-75.148737,PERM Z- NEW USE
40.010005,-75.14865,EXT A-CLEAN RUBBISH/GARBAGE
40.009909,-75.150132,EXT A-VACANT LOT CLEAN/MAINTAI
40.045505,-75.062796,RUBBISH/GARBAGE EXTERIOR-OWNER
40.045642,-75.062657,LICENSE-RES SFD/2FD
39.987706,-75.1104,EXT A-CLEAN RUBBISH/GARBAGE
39.987706,-75.1104,INT/EXT HANDRAIL REQ
39.987706,-75.1104,DRAINAGE-MAIN DRAIN REPAIR-RES
39.987706,-75.1104,INT S-CEILING REPAIR/MAINT SAN
40.028859,-75.077615,HIGH WEEDS-CUT
40.028859,-75.077615,CLIP VIOLATION NOTICE
40.028895,-75.07758,CLIP VIOLATION NOTICE
40.029163,-75.077857,HIGH WEEDS-CUT
40.028968,-75.07751,HIGH WEEDS-CUT
40.02915,-75.077338,CLIP VIOLATION NOTICE
40.002886,-75.100122,EXT A-CLEAN WEEDS/PLANTS
39.988411,-75.109023,EXT A-CLEAN RUBBISH/GARBAGE
39.988454,-75.108941,CLIP VIOLATION NOTICE
40.026927,-75.079455,EXT-TREES PRUNE/REMOVE
40.026927,-75.079455,EXT A-ACC STRUCT REPAIR/MAINT
40.027443,-75.079467,VACANT PROP STANDARD
40.027443,-75.079467,LICENSE-VAC RES BLDG
40.027251,-75.079122,HIGH WEEDS-CUT
40.027414,-75.078969,ANIMAL DROPPINGS
40.027451,-75.078935,INT/EXT HANDRAIL REQ
40.02654,-75.12254,DRAINAGE-KITCHEN DRAIN REP-RES
40.026848,-75.12254,EXT S-ROOF REPAIR
40.02657,-75.122329,EXT S-ROOF REPAIR
39.988577,-75.108731,RUBBISH/GARBAGE EXTERIOR-OWNER
40.003618,-75.102429,VACANT PROP STANDARD
40.003357,-75.102594,LICENSE-VAC RES BLDG
40.003583,-75.102163,ELEC-COVER PLATE DEFECTIVE-RES
40.003583,-75.102163,DRAINAGE-KITCHEN DRAIN REP-RES
40.003583,-75.102163,INT S-CEILING REPAIR/MAINT SAN
40.02752,-75.078869,VACANT PROP STANDARD
40.027779,-75.079152,CLIP VIOLATION NOTICE
40.027779,-75.079152,CLIP VIOLATION NOTICE
40.026965,-75.121386,FIRE-ELECT EXT CORDS PROHIB
40.026867,-75.120908,EXT A-CLEAN RUBBISH/GARBAGE
40.026884,-75.120795,EXT A-CLEAN RUBBISH/GARBAGE
39.988503,-75.108314,CLIP VIOLATION NOTICE
40.003548,-75.101896,EXTERIOR STRUCT ROOF DRAINAGE
40.003548,-75.101896,EXT S-WALLS MAKE WEATHERTIGHT
40.003548,-75.101896,EXT S-ROOF REPAIR
40.003137,-75.100357,WALL PARTIALLY COLLAPSED ID
40.003137,-75.100357,ROOF PARTIALLY COLLAPSED
40.003075,-75.100298,LICENSE-VAC RES BLDG
